file_id,cluster_id_x,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert,cluster_id_y,ivd_t5,pairs_t5,sentences_t5,ivd_centroid,pairs_centroid,sentences_centroid,ivd_keybert,pairs_keybert,sentences_keybert,cluster_id,tfidf_sim_t5,js_div_t5,tfidf_sim_centroid,js_div_centroid,tfidf_sim_keybert,js_div_keybert
cluster_e5_kmeans_15,7.0,0.466592567,0.317817883,0.0533333333,0.373333333,0.549609409,0.2954571,0.126666667,0.6,0.411761128,0,0.02,,7.0,1.55952381,4.066666667,2.8,1.125546315,11.0,9.866666667,1.066666667,1.066666667,1,7.0,0.0820710046,0.732069705,0.157527542,0.684597414,0.0782207012,0.811029326
cluster_e5_kmeans_20,9.5,0.454864394,0.29221026,0.045,0.305,0.55008515,0.27530593,0.11,0.57,0.401640496,0,0.02,,9.5,1.710526316,4.15,2.45,1.133230914,10.5,9.6,1.0,1.0,1,9.5,0.0980942669,0.725315215,0.152873224,0.683957975,0.105795148,0.807931691
cluster_minilm_hdbscan_30,14.5,0.498606823,0.353306834,0.028125,0.503225806,0.577577119,0.2866428,0.103125,0.606451613,0.43697527,0,0.035483871,,14.5,1.237096774,3.4375,2.75,1.243325433,11.0,9.3125,1.258064516,1.258064516,1,14.5,0.132020906,0.715174059,0.159407617,0.686971382,0.138601559,0.802547387
cluster_minilm_hdbscan_40,12.0,0.483969514,0.338611799,0.0185185185,0.461538462,0.568353662,0.284976,0.103703704,0.584615385,0.432494117,0,0.0346153846,,12.0,1.201923077,3.296296296,2.703703704,1.216986522,11.40740741,9.666666667,1.423076923,1.423076923,1,12.0,0.116760351,0.717739025,0.149152845,0.690085693,0.116121152,0.803997512
cluster_minilm_hdbscan_50,9.5,0.474604842,0.327208892,0.0181818182,0.480952381,0.571415075,0.28537008,0.104545455,0.6,0.436923423,0,0.0333333333,,9.5,1.194444444,3.272727273,2.636363636,1.217049377,12.0,10.22727273,1.619047619,1.619047619,1,9.5,0.125060362,0.716024402,0.150796602,0.687730674,0.125169332,0.802170504
cluster_minilm_kmeans_10,4.5,0.485099322,0.221748868,0.05,0.263333333,0.535130665,0.26947704,0.11,0.507777778,0.403465804,0,0.02,,4.5,1.033333333,2.9,2.8,1.284613997,12.0,10.7,0.8,0.8,1,4.5,0.0749344679,0.736626489,0.148153864,0.698943582,0.0591408893,0.822057533
cluster_minilm_kmeans_15,7.0,0.423135058,0.268119635,0.06,0.321481481,0.541001302,0.28846413,0.12,0.504444444,0.373174587,0,0.0266666667,,7.0,1.452380952,3.666666667,2.266666667,1.46660582,12.46666667,9.2,0.866666667,0.866666667,1,7.0,0.0828020751,0.734310887,0.140500701,0.687682564,0.102729799,0.814989786
cluster_minilm_kmeans_20,9.5,0.436047676,0.302773203,0.05,0.365,0.535137725,0.30127633,0.135,0.61,0.405958102,0,0.035,,9.5,1.600877193,4.6,2.95,1.522117063,12.6,8.9,1.8,1.8,1,9.5,0.0950921718,0.729310816,0.133391307,0.692859724,0.116892866,0.809032022
cluster_minilm_hdbscan_100,1.5,0.461708178,0.23879012,0.0166666667,0.44,0.532062083,0.303766042,0.0833333333,0.42,0.416978937,0,0.04,,1.5,0.888888889,3.0,3.333333333,1.535813492,11.83333333,7.833333333,1.6,1.6,1,1.5,0.0537171419,0.754742335,0.118301819,0.712444815,0.0861053675,0.818829595
cluster_minilm_hdbscan_2,269.5,0.617842218,0.271835401,0.0409594096,0.541759088,0.735571931,0.281233321,0.100922509,0.900765044,0.547162136,0,0.0229205176,,269.5,1.345686999,2.911439114,2.245387454,1.347632725,10.33763838,8.32103321,1.170055453,1.170055453,1,269.5,0.249424237,0.653650732,0.46693543,0.527898889,0.214907781,0.788465578
