file_id,cluster_id,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert
cluster_mpnet_kmeans_10,4.5,0.473070291,0.292209038,0.08,0.39,0.52966347,0.274932538,0.12,0.53,0.374891768,0,0.04,
cluster_mpnet_kmeans_15,7,0.48173572,0.326607214,0.04,0.446666667,0.534053073,0.260309894,0.126666667,0.486666667,0.394252979,0,0.0333333333,
cluster_mpnet_kmeans_20,9.5,0.471687177,0.293129692,0.07,0.392222222,0.535569745,0.269202565,0.115,0.511111111,0.395162608,0,0.035,
cluster_paraphrase_hdbscan_100,0.5,0.455608346,0.284074504,0.075,0.4,0.451692626,0.24380707,0.1,0.4,0.353409876,0,0.0666666667,
cluster_paraphrase_hdbscan_2,270,0.640999674,0.271140314,0.0364640884,0.542922304,0.752076276,0.282808671,0.10441989,0.903782288,0.548594956,0,0.0274907749,
cluster_paraphrase_hdbscan_30,0,0.413070341,0.253592362,0.0666666667,0.25,0.489009053,0.341620545,0.166666667,0.4,0.389177576,0,0,
cluster_paraphrase_hdbscan_35,0,0.448131551,0.205711732,0,0.3,0.480127225,0.328031679,0.166666667,0.4,0.368104503,0,0,
cluster_paraphrase_hdbscan_40,5,0.474345052,0.30776184,0.0384615385,0.383333333,0.578949318,0.263763327,0.0769230769,0.583333333,0.431509497,0,0.025,
cluster_paraphrase_hdbscan_45,2.5,0.530052673,0.253000477,0.0125,0.371428571,0.551496513,0.236223487,0.1125,0.542857143,0.40353537,0,0.0428571429,
cluster_paraphrase_hdbscan_50,2.5,0.531782407,0.27938633,0.05,0.4,0.54769405,0.253139624,0.0875,0.542857143,0.414943923,0,0.0285714286,
cluster_paraphrase_hdbscan_55,2.5,0.496595621,0.255177181,0.0125,0.257142857,0.541978277,0.25381274,0.1,0.542857143,0.423102336,0,0.0428571429,
