cluster_id,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,ivd_t5,file_id,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,ivd_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert,ivd_keybert
111,0.7053769826889038,0.13618186116218567,0.0,0.6,0.0,cluster_minilm_hdbscan_2,0.7301027774810791,0.2438531368970871,0.0,1.0,0.07142857142857142,0.5328902006149292,0.0,0.0,,0.0
112,0.7786513566970825,0.3915902078151703,0.0,0.8,0.0,cluster_minilm_hdbscan_2,0.8454822897911072,0.2349705994129181,0.1,1.0,0.5,0.5802794694900513,0.0,0.0,,0.0
113,0.6606846451759338,0.3436683118343353,0.0,0.9,0.0,cluster_minilm_hdbscan_2,0.6819263100624084,0.32955774664878845,0.1,1.0,0.5714285714285714,0.5256454944610596,0.0,0.0,,0.0
114,0.705623984336853,0.5241984128952026,0.0,0.6,1.0,cluster_minilm_hdbscan_2,0.7724565267562866,0.2297677844762802,0.0,1.0,0.2727272727272727,0.6321424245834351,0.0,0.0,,0.0
115,0.6593095660209656,0.15348541736602783,0.0,0.5555555555555556,0.0,cluster_minilm_hdbscan_2,0.6687676310539246,0.18072541058063507,0.1,1.0,0.18181818181818182,0.5305516123771667,0.0,0.0,,0.0
116,0.7454991340637207,0.4846901595592499,0.0,1.0,2.0,cluster_minilm_hdbscan_2,0.7533038854598999,0.4709204137325287,0.0,1.0,1.6666666666666667,0.6570037007331848,0.0,0.0,,0.0
117,0.646814227104187,0.21946321427822113,0.0,0.8,0.0,cluster_minilm_hdbscan_2,0.6838342547416687,0.28588610887527466,0.0,0.9,0.0,0.5821229815483093,0.0,0.0,,0.0
118,0.7220444083213806,0.6789975762367249,0.1,0.7,1.5,cluster_minilm_hdbscan_2,0.7852716445922852,0.27622857689857483,0.2,1.0,0.7058823529411765,0.5961006879806519,0.0,0.0,,2.0
119,0.6482584476470947,0.391834020614624,0.0,0.2222222222222222,0.3333333333333333,cluster_minilm_hdbscan_2,0.7224540710449219,0.2035626620054245,0.0,0.8888888888888888,0.16666666666666666,0.5483516454696655,0.0,0.0,,2.0
120,0.714268147945404,0.17352963984012604,0.0,0.8,0.3333333333333333,cluster_minilm_hdbscan_2,0.80489182472229,0.27356037497520447,0.0,1.0,0.2222222222222222,0.5255323648452759,0.0,0.0,,1.0
121,0.45466041564941406,0.3578687012195587,0.1,0.0,1.0,cluster_minilm_hdbscan_2,0.7417944073677063,0.5534470081329346,0.1,0.9,1.5,0.590552031993866,0.0,0.0,,0.0
122,0.7050795555114746,0.113758385181427,0.0,0.7777777777777778,1.5,cluster_minilm_hdbscan_2,0.756616473197937,0.2606302797794342,0.1,1.0,0.5714285714285714,0.5574297904968262,0.0,0.0,,0.0
123,0.6258893013000488,0.27124473452568054,0.1,0.6,0.0,cluster_minilm_hdbscan_2,0.6935749053955078,0.26787498593330383,0.1,0.7,0.2222222222222222,0.43444401025772095,0.0,0.0,,0.0
124,0.8475738763809204,0.3090323507785797,0.1,0.5555555555555556,1.3333333333333333,cluster_minilm_hdbscan_2,0.9190135598182678,0.26003792881965637,0.1,1.0,0.375,0.6399613618850708,0.0,0.0,,1.0
125,0.7143044471740723,0.14511547982692719,0.1,0.7,0.5,cluster_minilm_hdbscan_2,0.8595658540725708,0.3417595624923706,0.1,1.0,1.3,0.7584022283554077,0.0,0.0,,1.0
126,0.5793716907501221,0.0,0.0,0.2,2.0,cluster_minilm_hdbscan_2,0.7658711671829224,0.26300424337387085,0.1,0.9,0.6470588235294118,0.6316407918930054,0.0,0.0,,1.0
